名称,经纬度,地址,是否在校内,lng_gcj,lat_gcj,lng,lat
鲁斯亭,"116.30347418919516,39.99341466993807",颐和园路5号北京大学,校外,116.309578,39.994695,116.3034742,39.99341467
石舫,"116.30379650369751,39.99346808966938",颐和园路5号北京大学,校外,116.309901,39.994749,116.3037965,39.99346809
花神庙,"116.3038774163849,39.99280597230477",颐和园路5号北京大学临湖路(近博雅塔),校外,116.309982,39.994087,116.3038774,39.99280597
埃德加·斯诺之墓,"116.30430553528524,39.992613209976994",颐和园路5号北京大学校园内临湖路(近博雅塔),校外,116.310411,39.993895,116.3043055,39.99261321
临湖轩,"116.30289454292924,39.992316752035684",颐和园路5号北京大学未名湖南岸,校内,116.308997,39.993596,116.3028945,39.99231675
镜春园,"116.30316661465682,39.99516414597451",颐和园路5号北京大学,校外,116.30927,39.996444,116.3031666,39.99516415
石雕屏风,"116.30389815683422,39.99451886256681",颐和园路5号北京大学镜春路附近,校外,116.310003,39.9958,116.3038982,39.99451886
朗润园,"116.30378212072802,39.996748976005435",颐和园路5号北京大学,校外,116.309887,39.99803,116.3037821,39.99674898
华表,"116.2993816385115,39.99324988014807",北京大学,校内,116.305477,39.994523,116.2993816,39.99324988
图书馆,"116.30386771206834,39.99062108160192",颐和园路5号北京大学,校外,116.309972,39.991902,116.3038677,39.99062108
静园,"116.30189585944127,39.990421604600826",颐和园路5号北京大学,校内,116.307996,39.991699,116.3018959,39.9904216
校史馆,"116.29998158221666,39.99200989317782",颐和园路5号北京大学内(近中关村),校内,116.306078,39.993284,116.2999816,39.99200989
校景亭,"116.30046023865512,39.99495293531801",颐和园路5号北京大学,校内,116.306558,39.996228,116.3004602,39.99495294
西门,"116.2983887226617,39.992482618928676",332路;424路;584路;608路;644路;686路;688路;夜8路,校内,116.304482,39.993754,116.2983887,39.99248262
乾隆诗碑,"116.30189154145857,39.993018503060235",颐和园路5号北京大学,校内,116.307992,39.994296,116.3018915,39.9930185
卫生间,"116.30033253264946,39.994684169463",颐和园路5号北京大学燕东园32号附近,校内,116.30643,39.995959,116.3003325,39.99468417
卫生间,"116.29814916298716,39.99276601609699",颐和园路与蔚秀园路交叉口南60米,校内,116.304242,39.994037,116.2981492,39.99276602
塞克勒博物馆,"116.29982759845392,39.99436006123812",颐和园路5号北京大学,校内,116.305924,39.995634,116.2998276,39.99436006
文创,"116.29813211668603,39.99340301828003",蔚秀园47号平房101室,校内,116.304225,39.994674,116.2981321,39.99340302
新太阳,"116.3050575684472,39.9875970604963",颐和园路5号北京大学,校外,116.311164,39.98888,116.3050576,39.98759706
百周年纪念讲堂,"116.30447168636346,39.988617077747826",颐和园路5号北京大学校园内,校外,116.310577,39.989899,116.3044717,39.98861708
日晷,"116.30481158945413,39.99159033912503",颐和园路5号,校外,116.310918,39.992873,116.3048116,39.99159034
慈济寺山门,"116.3042815635193,39.99279224563235",颐和园路5号花神庙附近,校外,116.310387,39.994074,116.3042816,39.99279225
赖朴吾和夏仁德墓,"116.30481158945413,39.99159033912503",颐和园路5号,校外,116.310918,39.992873,116.3048116,39.99159034
钟亭,"116.30188753778589,39.993113506126484",颐和园路5号北京大学,校内,116.307988,39.994391,116.3018875,39.99311351
未名湖口1,"116.3023585,39.9928952",未名湖口,校内,,,,
未名湖口2,"116.3048976,39.9944889",未名湖口,校内,,,,
未名湖口3,"116.3030488,39.9941322",未名湖口,校内,,,,
未名湖口4,"116.3008587,39.9937975",未名湖口,校内,,,,
未名湖口5,"116.3007861,39.9936",未名湖口,校内,,,,
未名湖口6,"116.3017858,39.9935307",未名湖口,校内,,,,
未名湖口7,"116.303321,39.9920237",未名湖口,校内,,,,
未名湖口8,"116.3040869,39.9920774",未名湖口,校内,,,,
未名湖口9,"116.3054488,39.9927438",未名湖口,校内,,,,
未名湖口10,"116.3051097,39.9943192",未名湖口,校内,,,,
未名湖口11,"116.3048661,39.994353",未名湖口,校内,,,,
未名湖口12,"116.3026772,39.9938227",未名湖口,校内,,,,
燕南园口1,"116.3013675,39.9878092",燕南园口,校内,,,,
燕南园口2,"116.3013728,39.9876478",燕南园口,校内,,,,
燕南园口3,"116.3014752,39.9874689",燕南园口,校内,,,,
燕南园口4,"116.3035665,39.9893799",燕南园口,校内,,,,
燕南园口5,"116.3039502,39.9882798",燕南园口,校内,,,,
燕南园口6,"116.3017104,39.9892395",燕南园口,校内,,,,
燕南园口7,"116.3025048,39.9892479",燕南园口,校内,,,,
燕南园口8,"116.3014039,39.9885361",燕南园口,校内,,,,
燕南园口9,"116.3016689,39.9892358",燕南园口,校内,,,,
燕南园口10,"116.3024317,39.9874869",燕南园口,校内,,,,
燕南园口11,"116.3039436,39.9883759",燕南园口,校内,,,,
燕南园口12,"116.303718,39.9875303",燕南园口,校内,,,,
荷花池口1,"116.2989388,39.9947877",荷花池口,校内,,,,
荷花池口2,"116.2994299,39.9947964",荷花池口,校内,,,,
红湖口1,"116.3005104,39.9956339",红湖口,校内,,,,
红湖口2,"116.3004651,39.9951213",红湖口,校内,,,,
红湖口3,"116.3010621,39.9950259",红湖口,校内,,,,
红湖口4,"116.3005036,39.9957979",红湖口,校内,,,,
柳浪闻莺石坊楣,"116.300956,39.995206",柳浪闻莺石坊楣,校内,,,,
断桥残雪石坊楣,"116.303603,39.9959685",断桥残雪石坊楣,校内,,,,
葛利普教授之墓,"116.299027,39.9925615",葛利普教授之墓,校内,,,,
西南联大纪念碑,"116.299183,39.9923845",西南联大纪念碑,校内,,,,
大水法石构件,"116.2986705,39.992551",大水法石构件,校内,,,,
三一八烈士纪念碑,"116.302082,39.9909155",三一八烈士纪念碑,校内,,,,
蔡元培像,"116.301522,39.993365",蔡元培像,校内,,,,
李大钊像,"116.302023,39.991598",李大钊像,校内,,,,
塞万提斯像,"116.299859,39.991462",塞万提斯像,校内,,,,
乾隆半月台诗碑,"116.298421,39.995667",乾隆半月台诗碑,校内,,,,
茜园梅石碑,"116.301782,39.99196",茜园梅石碑,校内,,,,
翻尾石鱼,"116.30234,39.993227",翻尾石鱼,校内,,,,
未名湖石,"116.301766,39.993345",未名湖石,校内,,,,
植树碑,"116.302031,39.99293",植树碑,校内,,,,
博雅塔,"116.305784,39.992644",博雅塔,校内,,,,
